index,srcID,RA,DEC,healpix,pred_ind
14845,403,163.63198301705734,58.67284193241505,6025157,2.821087718984927e-07
14846,455,164.92084820809367,59.07482928078549,7423519,1.2885737987744506e-06
14847,455,164.92084820809367,59.07482928078549,7423519,1.2885737987744506e-06
14848,459,164.5398450187944,59.37867701789764,7422453,4.72457259093062e-06
14849,459,164.5398450187944,59.37867701789764,7422453,4.72457259093062e-06
14850,459,164.5398450187944,59.37867701789764,7422453,4.72457259093062e-06
14851,459,164.5398450187944,59.37867701789764,7422453,4.72457259093062e-06
14852,459,164.5398450187944,59.37867701789764,7422453,4.72457259093062e-06
14853,459,164.5398450187944,59.37867701789764,7422453,4.72457259093062e-06
14854,569,163.4093318853563,58.82773245065951,6025013,9.989342288463376e-06
14855,569,163.4093318853563,58.82773245065951,6025013,9.989342288463376e-06
14856,569,163.4093318853563,58.82773245065951,6025013,9.989342288463376e-06
14857,587,163.4955289497449,58.911247269424514,6025016,4.1290238073088403e-07
14858,609,164.30331228165034,58.74312097432318,7423289,3.325773718643177e-07
14859,609,164.30331228165034,58.74312097432318,7423289,3.325773718643177e-07
14860,617,164.36017100455445,59.47886822363951,7422417,0.004063010215759277
14861,631,164.07004974511085,59.28612590420479,7423001,0.00011734019790310413
14862,631,164.07004974511085,59.28612590420479,7423001,0.00011734019790310413
14863,631,164.07004974511085,59.28612590420479,7423001,0.00011734019790310413
14864,631,164.07004974511085,59.28612590420479,7423001,0.00011734019790310413
14865,634,164.1547697290538,59.076232614064395,7423055,0.000116687711852137
14866,643,163.31897651218736,58.705781552184305,6025031,1.7738602764438838e-05
14867,643,163.31897651218736,58.705781552184305,6025031,1.7738602764438838e-05
