RA,DEC,z
44.4114,-22.1168,0.0
44.8022,3.4987,0.1033
45.2882,41.3972,0.0
45.2421,37.7473,0.0
44.6958,-19.6178,0.0
45.4323,35.83,0.047
45.6657,32.4125,0.0
45.8218,1.8785,0.0
45.9785,3.7946,0.0897
46.1438,1.0107,0.0
46.5647,-0.1741,0.0
46.6482,2.2589,0.0
46.5134,-14.4573,0.0
46.6973,-12.0413,0.0788
46.8045,-16.725,0.0
46.8877,-14.5587,0.0
47.0657,-13.726,0.0
47.1263,-23.6429,0.0406
47.3237,-11.5269,0.0
47.6506,9.8054,0.0
47.5753,-11.0444,0.0
47.8212,-12.112,0.0797
48.0557,-2.6461,0.0
48.9718,-11.7328,0.0
49.6517,41.5151,0.0183
49.5596,34.4487,0.0
48.9928,-19.0996,0.0
49.9236,36.814,0.0
50.3817,-15.338,0.0
50.4017,-16.5548,0.0
51.0184,-5.807,0.0
51.1396,-6.7908,0.0
51.2542,-9.4579,0.0
51.4939,-5.6255,0.0
51.6753,9.1573,0.0
51.7049,-2.7263,0.0
52.1523,-9.8447,0.0
52.6169,24.7871,0.1063
52.2992,-10.6119,0.0
52.6384,-6.9632,0.0
52.5898,-12.913,0.0
52.8911,-6.2475,0.0
53.8532,3.2988,0.0
54.129,-2.869,0.0
54.3058,-2.4196,0.0
54.495,-5.1204,0.0
54.6708,-11.1211,0.0
57.3899,75.1864,0.0803
55.4144,23.4928,0.0607
55.5306,-2.4245,0.0
56.4471,1.6885,0.0
56.1812,-20.0272,0.0
56.3121,-12.9777,0.0
56.6473,7.8711,0.0
56.3528,-20.7279,0.0
56.4055,-20.1281,0.0
56.4609,-24.2784,0.105
56.5296,-20.2953,0.0
56.6588,-13.6958,0.0
57.2096,27.1356,0.0
57.0661,-17.6641,0.0
57.2979,-21.5818,0.0
57.3651,-17.8153,0.0
57.7412,6.3,0.0855
58.0761,25.2321,0.0
57.5693,-22.2662,0.0
58.1827,21.4149,0.1325
57.9943,-22.168,0.0
58.7959,-4.6711,0.0
59.882,-13.6424,0.0
60.9156,-17.0968,0.0
61.1138,-17.4643,0.0
62.9661,-16.6889,0.0
62.2247,-9.3856,0.0
62.8414,-11.205,0.0
63.0322,-1.8724,0.0
63.3362,10.4764,0.09
63.5754,-3.4247,0.0
63.7696,0.9911,0.0473
63.8716,-9.9427,0.0
64.131,-2.1271,0.0
64.0144,-11.5267,0.0
64.0817,-7.6603,0.0386
64.4114,4.805,0.0
65.6185,-4.9337,0.0
65.7012,-24.2509,0.0
66.1669,-5.2695,0.0
66.5949,-4.588,0.0
66.7188,-20.7054,0.0
67.3677,-5.0415,0.0
70.0465,76.5156,0.0
70.2348,73.7976,0.0
67.7054,-7.743,0.0
67.4881,-26.3589,0.0
68.4045,-13.2462,0.032
69.2141,10.6337,0.0
69.4412,21.1994,0.0
69.2936,-20.417,0.0
69.7344,-22.1023,0.0666
70.504,8.3945,0.0
72.6076,69.7863,0.0
70.3594,-17.1885,0.0
70.7967,6.8098,0.0
75.0534,80.0101,0.0543
70.8205,-9.7072,0.1561
70.8027,-18.4738,0.0
71.4746,2.0066,0.1479
71.9259,2.2879,0.0836
71.689,-21.0113,0.0
71.665,-25.4112,0.0
71.8781,-18.2788,0.0
72.0451,-9.7128,0.1491
71.9169,-20.429,0.0731
72.394,6.1691,0.0
72.5243,-8.815,0.1407
72.6223,-9.2321,0.2244
72.8401,-10.7165,0.1804
73.4436,0.6808,0.0
73.5791,2.9469,0.203
73.5422,-10.2531,0.0
74.2616,-6.1397,0.0
74.7568,8.7748,0.0
74.4444,-19.7074,0.0
74.8788,8.1409,0.0
74.966,5.4404,0.0541
77.5651,73.697,0.0794
74.8229,-9.009,0.2896
75.1695,6.1728,0.0
75.1364,-0.8604,0.0
75.3238,-3.5447,0.0
75.7975,11.9533,0.0
75.3783,-22.6118,0.0472
78.8336,73.5076,0.0
76.8782,-2.5853,0.0
76.9464,-9.2357,0.0
81.1636,73.8799,0.0
78.8138,-15.6946,0.0
79.1463,6.454,0.0205
81.3831,-25.6904,0.0
83.5167,64.401,0.0
84.4834,64.0297,0.0
82.6517,-22.4131,0.0
82.7312,-25.9469,0.0
83.0841,-11.5317,0.154
85.6266,66.4576,0.0
84.3443,-14.4212,0.0
86.7573,-25.6163,0.041
89.1565,65.6905,0.0
88.1583,-21.0731,0.0
88.7265,-17.7425,0.0
92.3581,76.3095,0.0
93.1561,48.6037,0.067
94.6839,67.4304,0.0
94.3044,-17.2529,0.0
97.1437,67.0352,0.0
97.5693,69.2166,0.0
99.7006,73.5902,0.0
100.0335,69.6881,0.0757
100.7402,67.8679,0.0
100.9805,69.0169,0.0
102.9854,69.274,0.11
104.4716,69.0169,0.0
105.1749,69.8137,0.0779
106.8536,71.756,0.0
106.1245,63.2921,0.0984
105.3893,32.828,0.0
106.903,35.0377,0.0751
107.2934,48.6194,0.0196
109.5851,70.4765,0.0
109.7218,71.876,0.0
108.5395,54.6638,0.0
109.3543,67.5274,0.0
110.0037,70.958,0.0
112.5765,79.181,0.0
110.3506,55.7389,0.0381
113.2879,78.9277,0.0
111.2553,66.9853,0.0
110.3363,36.7385,0.0
111.4702,41.4168,0.0
111.4168,11.0999,0.0
112.0487,41.9641,0.0
112.2073,43.0301,0.0
112.1458,26.6801,0.0
112.7386,40.8443,0.0
113.0741,31.626,0.171
113.252,39.442,0.0
114.7392,69.9531,0.16
115.3235,63.4835,0.0
114.3709,35.2703,0.0
115.5093,43.9654,0.0
115.6573,9.3643,0.0624
117.994,72.8225,0.226
116.1898,11.062,0.0
117.2104,52.0748,0.0666
119.1754,72.6173,0.0
117.991,35.3544,0.0
117.7196,17.6554,0.0
119.3736,68.8495,0.0
119.088,63.7504,0.0
118.3588,34.3195,0.0
118.3293,29.3529,0.0
118.9544,33.7503,0.0
119.8115,61.3639,0.0
119.0675,27.3997,0.0
119.2678,35.949,0.0
119.3657,39.3319,0.0
120.5562,63.7609,0.0
120.576,63.5274,0.0
119.8151,27.1132,0.0
120.242,36.0782,0.0
120.2589,34.8114,0.0
120.633,45.1434,0.0
120.2691,17.9612,0.0
120.6896,31.7262,0.0
121.0714,46.8082,0.0
123.5377,77.3163,0.0
122.2413,67.554,0.0
120.6566,-2.2073,0.0
121.4356,45.69,0.0
122.8162,70.0185,0.0
121.8553,48.0216,0.0
121.4119,-0.9438,0.0871
124.4397,76.8625,0.0
127.0426,82.3702,0.0
122.6642,49.2016,0.0
122.3297,34.7195,0.0
122.5324,35.2186,0.0
123.7516,66.4311,0.138
122.7657,40.3177,0.0
122.8116,35.9675,0.0
122.4112,4.9188,0.0
123.8638,63.7472,0.0
123.6404,58.0479,0.0267
122.7865,16.7174,0.0
125.1826,72.7424,0.0
123.7531,48.3805,0.0
123.2717,13.432,0.0
124.9838,67.9095,0.291
124.3478,29.7112,0.0
123.6629,22.6305,0.0
124.7739,30.0428,0.0
124.8906,52.4927,0.0
124.3602,-7.5892,0.0704
125.6365,56.5731,0.0
125.5364,47.1066,0.1303
125.0962,7.5413,0.0
125.5612,32.5397,0.0
126.0505,48.8713,0.0
125.6173,18.5726,0.0
125.5816,16.1061,0.0
126.4262,56.0366,0.1938
125.4458,1.2232,0.0
126.0488,38.9212,0.0
126.3341,47.1201,0.1245
126.369,48.27,0.0
125.8307,15.9551,0.0
125.9544,15.6713,0.0
126.0206,19.4044,0.0
126.3349,36.8367,0.0
126.8155,53.135,0.0
126.1996,8.4869,0.0
126.6222,34.8188,0.0
126.2084,4.4368,0.0
127.6883,65.882,0.1816
126.7932,38.3182,0.0
127.0126,44.7174,0.0
126.9214,34.7677,0.0
127.5499,56.3156,0.0
128.1594,66.8803,0.0
127.122,30.4168,0.0494
127.2329,32.4831,0.0
127.0764,15.1669,0.0
127.5399,18.4318,0.0
127.8913,38.4139,0.0
127.9085,37.1639,0.0
128.0749,35.7799,0.0
128.584,50.7115,0.0
128.525,35.9615,0.0
128.8296,36.8603,0.079
129.0501,43.8429,0.0
129.4916,51.8414,0.0
129.1476,31.2257,0.0
130.8564,72.8037,0.0
129.402,44.2416,0.0
131.9851,77.7167,0.0
129.761,42.1402,0.0
129.3774,15.858,0.0421
129.3739,14.9914,0.0
129.8094,28.8399,0.0788
130.2838,42.0382,0.0
130.2237,26.7383,0.0
129.9199,1.0726,0.0
130.2998,32.0547,0.0
130.3509,32.2879,0.0694
130.4027,16.1709,0.0
130.7222,36.3365,0.0
130.8539,41.5361,0.0
131.1521,27.7849,0.0
131.4989,36.9504,0.0
131.9048,38.1322,0.0
131.7383,24.9827,0.0
131.5347,5.1333,0.0
134.8115,79.3068,0.0
131.9113,29.9988,0.0
132.08,28.7315,0.0
135.218,79.8888,0.0
132.2504,37.531,0.0
132.5376,12.7464,0.0
133.043,36.5614,0.0
132.592,0.3127,0.0
133.0142,25.6281,0.0
133.1582,18.2108,0.0
133.6981,41.9092,0.0
133.685,35.3925,0.0
133.994,48.4582,0.0
138.1275,82.863,0.0
136.693,79.2169,0.0
136.4142,78.001,0.0
133.7725,15.6253,0.0
134.8803,61.2887,0.0
134.3353,30.7568,0.0
137.9459,81.4631,0.0
134.5754,38.5727,0.0
135.2984,62.6039,0.0
134.5865,31.1226,0.0
134.7797,39.422,0.0
134.4011,9.9731,0.0
135.286,58.2539,0.0
135.089,51.3377,0.0
134.3531,-3.6769,0.0
134.477,3.1728,0.203
135.33,55.6203,0.1159
135.1486,16.2705,0.0
136.1045,61.7511,0.0
135.7937,52.202,0.0
138.3829,79.9114,0.0
138.0883,78.0287,0.0
136.1265,47.2341,0.0
136.3923,42.3165,0.0
136.6128,37.299,0.0
137.5493,60.2962,0.0
136.6758,10.2819,0.0
136.8233,16.6648,0.0729
136.707,4.7818,0.0
137.4057,51.5465,0.0
137.7348,61.129,0.0
139.0999,75.7752,0.0
137.1643,6.9803,0.0
137.278,11.0299,0.162
142.0599,83.4171,0.0
137.6007,35.4457,0.0
137.1429,-6.8864,0.0
137.2086,-9.6366,0.0528
138.1316,48.9608,0.0
138.103,48.4775,0.0
138.197,47.7106,0.0515
138.138,42.544,0.0
138.2089,41.8938,0.0
137.6479,-5.4714,0.0
137.6807,-10.5882,0.0
139.7677,74.2896,0.1332
138.1196,15.9939,0.0
139.2904,63.824,0.0
140.1675,73.8216,0.0
138.2755,-4.7234,0.0
142.5586,82.4153,0.0
141.4421,79.3848,0.0
138.5766,3.309,0.0
139.5135,60.4232,0.0
139.6477,61.1728,0.0
139.1276,36.6241,0.0
139.4975,51.7064,0.0
138.9087,5.5246,0.0
139.0848,5.874,0.0
139.0647,-0.3926,0.0
142.0832,78.2327,0.224
139.4893,-8.3107,0.0
139.9618,33.7714,0.0226
139.6265,-12.2612,0.0522
140.0968,30.4376,0.0
140.4949,51.9699,0.0
140.7909,61.2358,0.0
140.6209,54.9696,0.1236
141.0416,59.4683,0.0
142.2071,74.7986,0.1241
142.1406,74.3988,0.1352
142.013,72.2991,0.0
141.3342,61.0175,0.0
140.2725,-13.6299,0.0
140.5802,12.4193,0.0
141.2539,42.8008,0.0
141.4025,50.3004,0.0
140.9428,8.6515,0.0
141.0105,14.168,0.1357
141.9968,60.3988,0.0
141.6464,17.6661,0.0
144.9051,80.958,0.0
142.5735,58.747,0.0
142.1248,37.7981,0.0
142.0058,20.565,0.1918
143.3399,67.0449,0.0
142.3028,12.1307,0.0
143.1919,62.5619,0.0
142.2533,4.1142,0.0
143.0426,56.0289,0.0
142.2466,-6.4359,0.0
142.539,7.6967,0.0
144.7466,77.2913,0.0
142.6845,-2.1538,0.0
144.9817,77.524,0.0
143.1472,37.8951,0.0
142.6218,-14.5537,0.0
144.7962,75.9244,0.0
143.0847,29.0619,0.0
142.7506,-13.3874,0.0
143.0437,17.3619,0.0
144.7129,73.9745,0.0
143.0696,9.6618,0.0759
143.4574,-2.9228,0.0
143.5022,-4.6896,0.0
143.4261,-13.4227,0.0
143.3098,-25.8558,0.0
143.8145,23.9097,0.0
144.6985,65.4243,0.0
144.3133,53.5085,0.0
143.6573,-2.9567,0.0
143.9017,12.1927,0.0
144.7247,62.1408,0.0
143.8627,7.5095,0.0
143.8071,-3.0404,0.0
143.9878,15.8591,0.0
144.0475,10.8589,0.0
145.166,66.673,0.0
144.3533,12.8581,0.0
146.6354,78.4361,0.0
144.3654,8.5247,0.0
144.2766,-5.0085,0.0507
147.1395,79.8849,0.0
146.899,78.7021,0.0
144.654,-4.1929,0.0
144.5538,-20.926,0.0
145.4833,56.5719,0.0
145.0133,-0.9439,0.0
146.0211,64.4039,0.0
145.2822,22.4888,0.0
145.0978,2.4559,0.0
146.8915,74.8685,0.0
145.3534,21.3553,0.0
145.2766,12.5721,0.0
145.7112,47.0045,0.0
145.5057,29.4216,0.0
145.5596,15.388,0.0
145.5159,8.9381,0.2069
145.3649,-9.2782,0.0
146.3528,56.5528,0.0
145.5248,-22.6121,0.0
145.8572,5.8872,0.0881
145.9154,8.8537,0.0
145.8967,2.1037,0.0
145.8911,0.0537,0.0
146.1173,9.5698,0.0
145.9808,-12.6133,0.0
147.4895,71.2001,0.0
146.6628,43.4852,0.0
146.9886,58.1345,0.0
146.2924,0.5359,0.0
146.3673,-8.6476,0.153
146.5473,2.3519,0.0
146.692,9.6016,0.0
147.8016,65.7824,0.0
148.8703,77.2634,0.0
148.1836,71.2982,0.182
147.6582,58.0327,0.0
148.4215,70.9309,0.0
147.4758,29.2829,0.0
148.9798,75.3797,0.0
147.4312,5.7663,0.0
147.6739,28.8657,0.0
147.4299,-4.1671,0.0
149.0091,71.7128,0.0
147.8126,8.2486,0.1408
147.8303,5.4985,0.0
147.8783,4.7317,0.0
148.6982,62.48,0.0
148.5759,57.8969,0.0
148.4163,40.3472,0.0
149.9587,76.9439,0.0
148.3779,22.7805,0.0
148.2534,-4.8359,0.0
148.5703,28.4134,0.0
148.3924,0.5637,0.0
148.9215,35.9792,0.0
148.9721,36.1624,0.0
149.1852,49.4953,0.36
149.1168,41.0121,0.0
149.0685,28.1955,0.0
149.4326,49.2613,0.0
149.5725,55.2777,0.0
149.1395,18.5952,0.0
149.0406,-9.938,0.0
149.115,-10.1715,0.0
149.4419,19.6278,0.0
150.0365,60.0766,0.0
150.1079,56.9931,0.0
150.3966,65.3758,0.0
149.5881,-11.056,0.0
